# CSV file for 200-set
가격,-1,0
각광,1,1
질병,-1,0
고소,-1,0
고요,0,1
궁상,-1,-1
냉소,-1,-1
노래,1,0
놀림,-1,0
농락,-1,0
누설,-1,0
다그침,-1,0
다툼,-1,-1
단죄,-1,0
단합,1,1
대듬,-1,0
더러움,-1,0
뒷받침,1,1
막막,-1,-1
만회,1,1
말살,-1,0
맑음,1,0
망측,-1,0
매도,-1,0
매료,1,0
명문,1,0
보호,1,1
봉변,-1,0
봉사,1,0
부각,0,1
부당,-1,0
불경,-1,-1
비하,-1,-1
살육,-1,0
상승,0,1
선동,-1,-1
소망,1,0
속죄,1,0
쇠퇴,0,-1
숙성,0,1
승급,0,1
승리,1,1
신비,1,0
실패,-1,-1
쓰레기,-1,-1
아부,-1,0
아쉬움,1,-1
악마,-1,0
안심,1,0
압박,-1,0
업그레이드,0,1
염탐,-1,0
욕,-1,0
욕심,-1,0
우승,0,1
우정,1,0
자랑,1,0
자살,-1,0
자율,1,0
잡담,-1,0
재건,0,1
재미,1,0
적응,0,1
정직,1,0
진심,1,0
창작,0,1
창출,0,1
책임,0,1
천인공노,-1,0
체념,-1,-1
추억,1,1
추태,-1,0
축하,1,0
취업,1,0
취직,1,0
커닝,-1,0
탄압,-1,-1
탈진,0,-1
텃세,-1,0
특채,1,0
파괴,-1,-1
파면,-1,0
패배,-1,-1
포상,1,1
하락,0,-1
해소,0,1
협조,0,1
화합,1,1
황당,-1,0
희망,1,0
가볍다,0,1
가엾다,-1,-1
귀엽다,1,0
높다,0,0
넓다,0,0
다르다,0,0
더럽다,-1,-1
많다,0,0
멀다,0,0
무겁다,0,-1
바쁘다,0,0
번거롭다,-1,-1
부끄럽다,-1,-1
사랑스럽다,1,1
슬프다,-1,-1
슬기롭다,1,1
아니다,0,0
아름답다,1,1
안타깝다,-1,-1
어렵다,0,0
어둡다,0,0
자유롭다,0,1
점잖다,1,1
짧다,0,0
차갑다,0,-1
촌스럽다,-1,-1
크다,0,0
터무니없다,-1,-1
파렴치하다,-1,-1
하얗다,0,0
하찮다,-1,-1
한심스럽다,-1,-1
옳다,0,0
예쁘다,1,1
어처구니없다,-1,-1
어지럽다,-1,-1
싱겁다,0,0
보잘것없다,-1,-1
반갑다,1,1
자연스럽다,0,0
가다,0,0
깎다,0,-1
꺾다,0,-1
고르다,0,0
갈다,0,0
개다,0,0
감다,0,0
감추다,0,-1
거닐다,0,0
갖다,0,0
갈라지다,0,0
남다,0,0
나다,0,0
날다,0,0
넘다,0,0
놀다,1,1
나르다,0,0
내다,0,0
노닐다,-1,0
누르다,0,0
달리다,0,0
들다,0,0
달다,0,0
닳다,0,-1
달이다,0,1
드리다,0,0
되다,0,0
디다,-1,-1
부탁하다,0,0
부르다,0,0
세다,0,0
살다,0,0
세우다,0,0
쓰다,0,0
웃다,0,0
졸다,-1,-1
주다,0,0
짓다,0,0
적다,0,0
피다,0,0
피우다,0,0
풀다,0,1
풀리다,1,1
하다,0,0
훑다,0,0
핥다,0,0
구르다,0,0
자다,0,0
울다,-1,-1
일어나다,0,0
나오다,0,0
들어가다,0,0
먹히다,-1,-1
뚫리다,0,0
부수다,-1,-1
씻다,0,1
내리다,0,0
맞추다,0,1
켜다,0,0
자르다,0,0
그래,0,0
글쎄,0,-1
네,0,0
맙소사,0,0
뭐,0,0
세상에,0,0
아뿔싸,-1,-1
예,0,0
안녕,0,0
어머나,-1,0
